Date,Block,dexTVL,bridgeTVL,liquidStakingTVL,crowdloanTVL,LPTokenStakingTVL,lcdotTVL,stableCoinTVL,OverallTVL
2022-02-10,382658,0,4166200000,0,677340384.220242,12859946.2620839,502363723.757948,7341784.26352127,4688765454.28355
2022-02-11,389478,16094235.9655965,3783000000,0,615039766.095045,16981772.7138863,456157161.676424,17382712.4536085,4289615882.80952
2022-02-12,396298,17016889.9578165,3766800000,0,612405971.696224,17499951.7103994,454203752.736652,18165974.700905,4273686569.10577
2022-02-13,403080,16954607.5306927,3740600000,0,608146378.285785,17607850.7629138,451044535.809366,18378380.236677,4244585374.33965
2022-02-14,409851,16790367.5061134,3752200000,0,610032305.139261,17696564.0619286,452443273.074882,18606109.0737251,4257736313.71665
2022-02-15,416618,17201570.4317863,4027800000,0,654839325.89945,17829240.4739195,485675341.210759,22576976.283002,4571083128.39947
2022-02-16,423364,19156533.7781361,3994800000,0,649474189.161111,20650471.3044044,481696174.851964,25420112.2899271,4541723292.22443
2022-02-17,429431,18765765.2901272,3633800000,0,590782844.841706,19849903.5451367,438166506.50272,24404857.8974358,4134987033.23542
2022-02-18,435379,18569217.2555869,3564400000,0,579499799.701078,19835430.2009118,429798199.069375,24337215.0198476,4056940061.54572
2022-02-19,441244,18878529.7026372,3567600000,0,580020055.384795,19740153.0543629,430184057.625379,24803661.17874,4061206401.56112
2022-02-20,447046,19023121.4427403,3426800000,0,557128805.301216,19973860.2332033,413206281.161187,30189556.925988,3909192819.76312
2022-02-21,452805,20067041.1319123,3249000000,0,528222098.87465,20531418.8543343,391767015.143194,30621758.8730798,3711987234.00252
2022-02-22,458591,19701248.6416253,3265400000,0,530888409.253703,20302878.6426433,393744540.242716,30963722.165003,3730112389.69199
2022-02-23,464375,19537419.1763701,3212600000,0,522304190.472361,19901682.2783946,387377874.068644,30455664.1378184,3669872639.66123
2022-02-24,470299,18494708.7571567,3193200000,0,519150140.389822,19256956.2821569,385038606.572867,30264104.3855243,3646254375.99771
2022-02-25,476519,19319180.7358453,3448400000,0,560640531.16631,20215913.4362859,415810826.414216,32588261.563796,3936334182.15014
2022-02-26,483026,19450985.8812478,3600600000,0,585385192.123134,20814560.9315311,434163223.984174,34170399.4423496,4109199170.2393
2022-02-27,489670,19361671.2904311,3486200000,0,566786051.430226,20421553.3415193,420368780.607018,33081045.9830735,3979433051.22204
2022-02-28,496214,19375345.1927294,3758400000,0,611040300.526465,21454200.6289468,453190874.02714,35851413.9035282,4288271833.75235
2022-03-01,502741,19797112.0417049,37738000,0,613544031.004356,21846984.9107599,455047818.327911,36068245.1317904,570498160.412167
2022-03-02,509328,19714554.1024505,37294000,0,606325483.392773,21809479.4650068,449694030.863351,35875336.7182647,564387401.149073
2022-03-03,515915,21601531.4291634,36096000,0,586848411.23359,22767995.0790394,435248451.172937,62551692.2613713,578265669.942511
2022-03-04,522577,21109933.0054993,33526000,0,545065376.635011,21782568.0392419,404259185.893835,62448821.8728753,543126508.811452
2022-03-05,529288,21046494.9090069,34594000,0,562428910.07909,22337882.979711,417137215.200481,65629199.3295238,560744792.418723
2022-03-06,535942,21517523.2958966,34130000,0,554885202.665183,22085828.4897066,411542266.138418,64244857.9093794,553520475.833401
2022-03-07,542760,20698881.0980896,32756000,0,532546724.245553,21700356.7284586,394974464.38998,61806180.4178092,531935882.634337
2022-03-08,549653,21426516.6659231,33786000,0,549292454.065217,22176759.9467316,407394286.661371,62804874.3519641,547588437.62599
2022-03-09,556567,22187047.5767666,35432000,0,576053105.796448,22948290.6233084,427241886.135846,67566345.4276719,575375569.763593
2022-03-10,563674,21797344.806028,34072000,0,553942239.238445,22297969.0983362,410842897.50566,64484996.1349437,553495207.544968
2022-03-11,570668,22623490.4617958,35698000,0,580377731.167351,22701835.9758371,430449335.382632,65532241.7806385,577004903.600904
2022-03-12,577693,23152676.2325836,36542000,0,594099474.825406,23793861.7777656,440626354.797248,67263520.0110984,591378412.818695
2022-03-13,584752,22686501.1230271,34726000,0,564574964.774425,23082152.1676431,418728881.743999,64046341.1143969,563269876.149067
2022-03-14,591860,22701522.4694204,35342000,0,574589886.685992,23759256.8791277,426156658.947084,69433042.1660755,577392480.461707
2022-03-15,598871,23036985.6254506,35672000,0,579955023.424331,23646099.3845081,430135825.305879,67957198.9041115,580448109.219949
2022-03-16,605882,23921421.8196936,37984000,0,617543496.572936,24473523.4676479,458014105.977195,71306499.3685742,615699550.633111
2022-03-17,612917,22161063.3247711,37460000,0,609024309.752058,22408881.606258,451695672.122623,70199287.1938885,603924904.247541
2022-03-18,620006,22438611.4872386,38024000,0,618193816.177583,22816787.0881378,458496429.1722,72350849.325607,614126677.073184
2022-03-19,627056,22353285.1126678,38728000,0,629639441.219373,23107153.0079483,466985317.404297,75180260.3693611,626354015.894274
2022-03-20,634100,22073100.8180528,37390000,0,607886250.443926,22613059.1366317,450851606.531364,73690439.9875346,606618206.473583
2022-03-21,641175,22291249.0857113,37496000,0,609609597.396241,22855693.2675097,452129762.998128,77140785.3169353,611913490.668285
2022-03-22,648244,23278446.4701676,40526000,0,658871307.448263,24075592.877603,488665745.019793,78792352.8588443,655338137.226408
2022-03-23,655070,23461610.7706864,41664000,0,677372900.200474,24188169.0615205,502387839.917698,81244807.3001352,672946427.05004
2022-03-24,661932,21153952.2673911,42586000,0,692362767.087591,21782899.1302099,513505389.562574,83431448.851291,682459689.811467
2022-03-25,668922,21306124.1924172,41092000,0,668073329.85402,21459150.1612712,495490618.22912,79385631.8447181,658733524.427527
2022-03-26,675883,21542171.9706093,41658000,0,677275352.259777,21883261.9570502,502315491.438448,82516037.3686762,669914962.734783
2022-03-27,682919,23079422.5148615,44528000,0,723935783.89321,23294928.9016275,536922180.68009,86241201.0267836,714065733.123363
2022-03-28,689974,23409978.3354342,44534000,0,724033331.833907,23605668.4812307,536994529.159341,87643336.3328088,716187512.308814
2022-03-29,697050,23591320.9540061,44294000,0,720131414.206024,23675358.4503794,534100589.989308,89331650.7301179,714992920.123811
2022-03-30,704068,23857057.9967048,45036000,0,732194842.872229,24050814.4564616,543047685.256659,92283576.5433033,728275134.253129
2022-03-31,711104,23395736.9108426,42972000,0,698638351.272436,23720373.0188186,518159808.394377,96421301.4992919,704669219.82333
2022-04-01,718140,23701108.1071668,43878000,0,713368090.317694,24315050.9354091,529084428.761251,104794678.48586,725773266.289687
2022-04-02,725135,24887332.5687297,45910000,0,746404326.233769,25420494.6160859,553586447.067529,110536827.274771,760341101.527116
2022-04-03,732169,24976394.1470192,46504000,0,756061572.36278,25676762.9314067,560748946.51336,109398237.241928,767304340.833714
2022-04-04,739232,24915364.9316068,45238000,0,735478956.875697,25766210.9810373,545483417.391437,114607746.198657,756010739.502738
2022-04-05,746312,24464192.7849955,44110000,0,717139944.024647,25349732.5867086,531881903.292283,112332391.868023,738138220.53201
2022-04-06,753339,23335328.8620178,39880000,0,648368645.833211,23577454.34624,480876225.420454,98378536.9066691,666047545.535381
2022-04-07,760400,23441332.5909872,40698000,0,661667681.748245,23987465.276253,490739734.758316,104512956.085987,683379488.711544
2022-04-08,767454,23329475.4167465,38616000,0,627818546.326361,23211996.3184356,465634812.458281,97358875.4791605,648151159.672624
2022-04-09,774447,23552479.9842715,39236000,0,637898500.198392,23724435.556676,473110821.980866,102638644.878043,662262382.399857
2022-04-10,781545,23609471.570722,39172000,0,636857988.830956,24104842.885611,472339104.868857,108925809.913125,668151229.238316
2022-04-11,788553,22497741.2613896,34518000,0,561193302.83026,22129747.5681763,416220801.129971,95815282.4813642,591181572.440901
2022-04-12,795620,22429761.1839192,35566000,0,578231676.472016,22377307.1762298,428857668.839114,95523922.6245787,604754659.823842
2022-04-13,802608,22989410.8004158,36390000,0,591628260.327747,22896486.7618206,438793526.656227,99176404.6554742,620245828.873938
2022-04-14,809644,23399894.2620207,35830000,0,582523785.862687,22857381.8156697,432041001.92615,96065858.6270208,610194136.630862
2022-04-15,816668,23280552.0322718,36614000,0,595270050.113771,22919056.626191,441494536.548258,98171487.4881253,622479632.694846
2022-04-16,823732,23117546.3019757,37270000,0,605935291.629984,23330616.4368308,449404636.946347,103152932.284159,636275731.969313
2022-04-17,830766,23167618.9649991,35584000,0,578524320.294107,22884413.2965073,429074714.276867,98611872.0756112,609322618.613984
2022-04-18,837826,23230902.2822674,36382000,0,591498196.406818,23022672.8218394,438697062.017226,95405180.9892006,616737818.110533
2022-04-19,844870,23931359.9045692,37750000,0,613739126.88575,23872543.9587433,455192515.286413,98350575.4246654,639096994.574391
2022-04-20,851796,24071603.5009014,38196000,0,620990190.477566,23866194.4680269,460570418.910724,97073864.9052709,643778081.784923
2022-04-21,858830,23832440.2251614,36368000,0,591270584.545191,23481671.490297,438528248.898974,94872284.6492428,617082645.263675
2022-04-22,865842,24221077.122678,36652000,0,595887853.738186,23563965.2892361,441952743.583513,92765978.3573499,619155764.352777
2022-04-23,872830,24054342.3164587,37652000,0,612145843.854365,23786451.9278249,454010823.45865,91038072.9606615,630541690.663595
2022-04-24,879807,23898657.2793898,36488000,0,593221543.359133,23181231.1610885,439975218.48399,85704047.4258065,609247154.350275
2022-04-25,886715,23237058.4284428,36294000,0,590067493.276594,23032354.150501,437635950.988214,86257029.2315312,606456392.798689
2022-04-26,893713,22897882.0727611,33242000,0,540448107.442016,21606458.7858843,400834691.209296,79312452.0437036,557893484.111645
2022-04-27,900680,22972637.6926345,33832000,0,550040321.610562,21905632.3593474,407948958.335627,80635836.4560389,567295064.843648
2022-04-28,907463,22683419.4544758,33962000,0,552153860.325665,21915224.7680628,409516508.719395,82101428.9152232,570178581.857157
2022-04-29,914420,21561999.9699164,32254000,0,524385213.207231,21083198.2011249,388921308.292661,76937997.8943132,540758504.358016
2022-04-30,921375,20113100.0751261,29036000,0,472067001.013368,19512551.5095365,350118407.254471,70866527.2052951,489646586.044429
2022-05-01,928262,20315368.1895008,30704000,0,499185328.527154,19960327.2638458,370231284.486199,72475059.9604814,513686039.900027
2022-05-02,935210,20209506.1359308,29986000,0,487512091.623738,19649879.3752602,361573583.135851,70661181.8530929,502080150.500135
2022-05-03,941991,20104424.8042522,29408000,0,478114973.336587,19671441.664169,354604012.968022,71190161.2804807,494978040.716924
2022-05-04,948773,20989522.7969559,32496000,0,528319646.815347,20874165.4766688,391839363.622444,79907714.4980879,546106766.394157
2022-05-05,955553,19749098.2108557,28805352.1005685,0,472424676.795924,19364032.5516251,350383685.011724,70122360.8679458,488424528.742719
2022-05-06,962314,19359433.8123645,28322786.6850842,18709.6568854792,465953996.729685,18999860.8006106,345584569.22142,69951595.7789073,482236955.955272
2022-05-07,969145,18932729.175225,27319892.4241585,18116.8297511184,447289824.076312,18671414.9660094,331741893.524763,95920776.7202573,492604823.640164
2022-05-08,975941,17839602.5129382,26412064.7281276,17508.2778788064,432104861.3078,17846015.4774884,320479646.921385,89520322.5783367,472115160.496155
2022-05-09,982741,14690240.5054136,21844115.4989639,14556.1214923634,356342627.366407,15245812.8777829,264288994.703248,76471409.5178336,392555129.224734
2022-05-10,989571,13635935.0455617,31470848.9668156,10573849.3876294,366422581.238438,13477134.3895442,271765004.225832,80548328.229153,421471100.244536
2022-05-11,996410,10259515.6701249,39693269.2017934,25248761.3639381,289662106.703911,10458616.8852382,214833985.903362,75631240.4075945,376125389.432051
2022-05-12,1003195,9581486.06743454,43924635.3786432,29452097.7711905,280460084.298154,9670161.82714245,208009112.694034,75134973.7317608,375772467.470206
2022-05-13,1010207,10973168.1578751,53902003.1933749,37477184.7275228,340279733.131623,10995528.6919721,252375611.786613,89176105.3109961,454899601.868354
2022-05-14,1017179,11331616.1655318,59848280.4462111,42070697.8232517,371267462.293059,11615082.1795851,275358312.028623,98681017.807943,498905006.451146
2022-05-15,1024222,11916291.2412213,61742528.1415581,43613104.214728,381022256.362767,11963072.7804219,282593159.953705,103845944.928898,515674101.260532
2022-05-16,1031247,11070042.2356762,56676320.4582785,40172009.1885227,347303184.861812,11216297.7117445,257584702.292672,95712866.2760362,472432238.16293
2022-05-17,1038263,11549278.3923472,59421132.68708,42267121.9149485,359626741.369875,11588135.940701,266724726.838025,98506448.3226964,490056844.095798
2022-05-18,1044985,11505733.9965203,52688111.4520261,37631336.9714742,313434539.851788,11567355.7889045,232465310.296787,85493127.5891181,431350976.09483
2022-05-19,1051890,11467897.8332693,55006947.523516,39959639.2483444,325582510.066597,11531298.8970171,241475107.579489,85772674.7070021,445213565.788638
2022-05-20,1058796,11246893.0890453,54112456.1258922,39615645.4644938,316347971.680607,11313775.3602091,234626118.210411,84278961.6847844,435193849.934836
2022-05-21,1065696,11187308.6582923,55754294.8950153,41060888.5130028,325354898.20497,11328143.6082812,241306294.461237,86987403.1688559,447624333.304685
2022-05-22,1072674,11445205.83687,57322455.5258909,42003535.2743677,331370354.547957,11587782.4462703,245767784.015038,89726681.4958912,457853444.594328
2022-05-23,1079644,11393589.3841551,56031571.1739393,41420150.219881,323244611.08789,11404036.3847979,239741155.693444,86373237.7566208,446363740.612838
2022-05-24,1086605,11650982.7957755,59641713.805792,44612795.4951174,331500418.468886,11741444.0306619,245864248.654039,92542067.4037945,466053252.18518
2022-05-25,1093548,11355387.9519161,58284123.4234031,43547582.1619316,321238375.107554,11509232.9166343,238253188.636852,89923288.5708307,452872803.661568
2022-05-26,1100467,10677864.1924208,54650843.4216329,41107060.9078688,300376122.190473,10733397.5117912,222780260.541077,83262271.888543,423211698.463334
2022-05-27,1107371,10335111.3932576,54492214.1726342,41115076.23215,297059492.206773,10405127.0901287,220320412.246549,81623139.6226341,418291080.757354
2022-05-28,1114253,10864003.987671,57829255.2902744,43749969.6066569,314331980.906201,11062520.7897128,233130916.305894,85553245.0088992,442189910.989109
2022-05-29,1121139,11131725.0116723,59670532.9185651,45136471.585712,324051007.397653,11370285.7671052,240339236.455251,88774150.0693469,456422401.807653
2022-05-30,1128033,11732214.7294292,63097952.521136,47756791.7802397,342263207.925796,11934351.4653986,253846697.531379,97769330.8871026,486137338.914685
2022-05-31,1134939,11805351.4801632,74274661.3883286,58963766.5867962,340474829.013017,11948135.7867335,252520308.745114,96860089.6176151,506372313.604751
2022-06-01,1141677,11244679.1500914,67690553.7517316,53678288.3841209,308339285.749378,11313702.7572765,228686308.063919,87774716.1916013,460388248.298741
2022-06-02,1148531,11450050.4279256,71169404.1946552,56511651.3650727,322851167.727079,11618434.087031,239449350.160466,92935143.1562739,483134033.391424
2022-06-03,1155361,11086516.7411936,67146049.2855394,53381288.3845141,304756024.727772,11136768.4757262,226028707.259439,86257482.0830986,455036812.229511
2022-06-04,1162191,11044274.9265276,67871495.8488307,53877894.9477111,305695736.556487,11231846.8590581,226725664.276222,87782838.7957995,458534015.654149
2022-06-05,1168945,11222834.467906,68035148.1691574,54202573.8639194,305464873.096837,11272467.5676227,226554439.541995,87558037.7709583,458845501.381558
2022-06-06,1175760,11275119.4547201,68894536.1447464,54781007.7228952,307841791.251823,11394873.6611219,228317330.81974,88813284.8993477,463476152.702571
2022-06-07,1182503,11038516.9001907,67628095.7480137,53779095.3551903,299810344.13443,11120724.6089499,222360639.361422,87255443.5088029,453182515.48257
2022-06-08,1189273,10853965.8230921,66630433.7698419,53132601.8870701,293245367.725517,10869771.3014156,217491586.707842,85246943.4371093,444225302.926371
2022-06-09,1196022,10910542.5331883,68656497.1546774,54610401.7784606,299664022.223385,10935414.1251669,222252116.642546,86688055.5581941,454053027.792233
2022-06-10,1202808,10455391.9819341,64562776.3805176,51566393.2786604,281442066.901171,10516651.1977098,208737420.718493,81255047.8884153,427093681.44573
2022-06-11,1209560,9902483.23656386,60176361.1311908,48054853.0899238,261847937.213153,9959982.75677199,194205022.852978,75615459.0535036,397914162.120932
2022-06-12,1216309,9303464.3166988,56264446.139927,44898748.5628558,244692506.042561,9353529.96980366,181481336.968733,69012027.8523419,370313553.810361
2022-06-13,1222967,8759431.03202257,51599685.2596542,41109628.3028831,224441553.553849,8756377.59510556,166461792.676263,64169609.8286713,340856524.6946
2022-06-14,1229621,8848993.43667027,54864329.0577887,43817449.904613,238524224.592483,8956647.87265958,176906501.464107,67628085.493922,361022007.22976
2022-06-15,1236320,9764120.55920005,63184240.3963021,50421654.8180278,274265790.06389,9768168.97203011,203414984.261607,75271580.430224,411824749.437391
2022-06-16,1242989,8920166.02176335,53176197.3380779,42246468.8561003,229458769.303701,8918006.28006323,170182916.12573,64113318.498505,347557073.12024
2022-06-17,1249647,9157904.2376911,55272153.7805429,43888309.0346643,238029981.692951,9118175.13261977,176539935.835902,65960543.2175167,359937021.238937
2022-06-18,1256310,8640014.72597501,53475500.4144616,42513907.1398047,229595336.420677,8686825.41235645,170284203.996681,63353333.7315412,346953785.420821
2022-06-19,1263003,8885295.37422706,57035607.4307033,45131272.5928715,243544691.940359,8969959.83941311,180630036.529549,66981819.0060577,367633990.772821
2022-06-20,1269614,8720954.6996474,59515435.3329095,47121220.3520943,253933547.624597,8717673.16215054,188335149.569761,70367150.4648024,382777583.581365
2022-06-21,1276376,8808087.83971019,59155267.5156524,46820285.7255776,251904550.458098,8769325.37726662,186830301.201344,70704698.6541339,381087966.313685
2022-06-22,1283096,8572604.50626468,57026893.9684806,45133825.0695464,242487922.582807,8550627.19805766,179846261.337665,67528620.6530768,366658832.733091
2022-06-23,1289783,8728082.66655809,59378994.3328571,47089747.5176473,252525605.680536,8794238.09422347,187290919.852574,70574436.7648215,381856419.228682
2022-06-24,1296569,9012941.53121625,63041858.1206725,50080246.6535726,268777092.600668,9077803.01192097,199344176.495761,74295240.876383,404852266.689526
2022-06-25,1303311,8936433.64010475,62037923.0477503,49338164.3711397,264016753.094651,8991272.62976824,195813570.708321,72511922.6093539,397629287.006438
2022-06-26,1310012,8882814.49188949,60378693.0749351,48013815.7791951,256616115.993766,8844341.2482348,190324732.749159,70963999.9438654,387408397.287279
2022-06-27,1316693,8813878.52009144,60027917.04528,47754506.1031482,254522086.866803,8810507.04687232,188771652.061241,70618721.7745888,384797182.551222
2022-06-28,1323587,8435258.1472274,56186105.8523474,44713964.9192493,237789363.439231,8392657.23780759,176361476.25375,65414900.14317,359504362.553552
2022-06-29,1330303,8127217.58145494,53917768.0986071,42974361.3912123,227257437.441971,8099530.50931858,168550252.110637,63353066.8867643,345022196.577994
2022-06-30,1337106,7989368.13502988,52800544.1815025,42079119.0526267,221609411.67561,7950424.43023527,164361275.162014,61898207.604416,337078938.565825
2022-07-01,1343825,8036380.81576465,53228517.2437488,42403043.5056464,221225723.108868,8032817.9235313,164076704.476961,62097785.7499533,337875249.715606
2022-07-02,1347080,7950740.73297469,53143203.5829533,42302701.1868092,220702215.827127,8006229.16000438,163688434.304982,61649233.8482748,336740542.815998
